Fight ID,Date,Red fighter,Blue fighter,Focal ID,Winner,Focal colour,Focal Outcome,Sex,Foc_Sig Str %,Z_Foc Sig Str %,Foc_Att strikes per sec,Z_Foc_Att strikes per sec,Method,Method_B
1,14/03/2020,Johnny Walker,Nikita Krylov,Johnny Walker,Blue,Red,Loser,M,74,1.957658832,0.12,-0.618923278,Decision,Decision
2,14/03/2020,Francisco Trinaldo,John Makdessi,John Makdessi,Red,Blue,Loser,M,54,0.62275304,0.14,-0.483255296,Decision,Decision
3,14/03/2020,Jussier Formiga,Brandon Moreno,Jussier Formiga,Blue,Red,Loser,M,46,0.088790723,0.09,-0.822425252,Decision,Decision
4,14/03/2020,Amanda Ribas,Randa Markos,Randa Markos,Red,Blue,Loser,F,46,0.088790723,0.11,-0.68675727,Decision,Decision
5,14/03/2020,Elizeu Zaleski dos Santos,Aleksi Kunchenko,Elizeu Zaleski dos Santos,Red,Red,Winner,M,39,-0.378426304,0.19,-0.144085339,Decision,Decision
6,14/03/2020,Marya Bueno Silva,Maryna Moroz,Maryna Moroz,Blue,Blue,Winner,F,56,0.756243619,0.33,0.805590539,Decision,Decision
7,14/03/2020,Bruno Silva,David Dvorak,Bruno Silva,Blue,Red,Loser,M,46,0.088790723,0.12,-0.618923278,Decision,Decision
8,14/03/2020,Veronica Macedo,Bea Malecki,Bea Malecki,Blue,Blue,Winner,F,52,0.489262461,0.36,1.009092513,Decision,Decision
9,07/03/2020,Israel Adesanya,Yoel Romero,Israel Adesanya,Red,Red,Winner,M,36,-0.578662173,0.09,-0.822425252,Decision,Decision
10,07/03/2020,Weili Zhang,Joanna Jedrzejczyk,Joanna Jedrzejczyk,Red,Blue,Loser,F,51,0.422517171,0.25,0.262918609,Decision,Decision
11,07/03/2020,Neil Magny,Jingliang Li,Neil Magny,Red,Red,Winner,M,53,0.55600775,0.21,-0.008417357,Decision,Decision
12,07/03/2020,Alex Oliveira,Max Griffin,Max Griffin,Red,Blue,Loser,M,46,0.088790723,0.11,-0.68675727,Decision,Decision
13,07/03/2020,Mark Madsen,Austin Hubbard,Mark Madsen,Red,Red,Winner,M,25,-1.312860359,0.07,-0.958093235,Decision,Decision
14,07/03/2020,Giga Chikadze,Jamall Emmers,Jamall Emmers,Red,Blue,Loser,M,42,-0.178190436,0.14,-0.483255296,Decision,Decision
15,29/02/2020,Gabriel Silva,Kyler Phillips,Gabriel Silva,Blue,Red,Loser,M,31,-0.912388621,0.12,-0.618923278,Decision,Decision
16,29/02/2020,Marcin Tybura,Serghei Spivac,Serghei Spivac,Red,Blue,Loser,M,31,-0.912388621,0.11,-0.68675727,Decision,Decision
17,29/02/2020,Luis Pena,Steve Garcia,Luis Pena,Red,Red,Winner,M,64,1.290205936,0.11,-0.68675727,Decision,Decision
18,29/02/2020,Sean Brady,Ismail Naurdiev,Ismail Naurdiev,Red,Blue,Loser,M,42,-0.178190436,0.1,-0.754591261,Decision,Decision
19,22/02/2020,Paul Felder,Dan Hooker,Paul Felder,Blue,Red,Loser,M,47,0.155536012,0.16,-0.347587313,Decision,Decision
20,22/02/2020,Karolina Kowalkiexicz,Xiaonan Yan,Xiaonan Yan,Blue,Blue,Winner,F,52,0.489262461,0.2,-0.076251348,Decision,Decision
21,22/02/2020,Brad Riddell,Magomed Mustafaev,Brad Riddell,Red,Red,Winner,M,52,0.489262461,0.11,-0.68675727,Decision,Decision
22,22/02/2020,Jake Matthews,Emil Meek,Emil Meek,Red,Blue,Loser,M,42,-0.178190436,0.18,-0.211919331,Decision,Decision
